Title	BioProject	BioSample	Tax ID	GenBank Accn	GenBank FTP	GenBank Accn	GenBank Assembly	RefSeq Accn	RefSeq FTP	RefSeq Accn	RefSeq Assembly
Dorea sp. AGR2135 	PRJNA185686	SAMN02441590	1280669	GCA_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/885/GCA_000420885.1_ASM42088v1	GCA_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/885/GCA_000420885.1_ASM42088v1/GCA_000420885.1_ASM42088v1_genomic.fna.gz	GCF_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1	GCF_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1/GCF_000420885.1_ASM42088v1_genomic.fna.gz
Enterobacter sp. KPR-6 	PRJEB17309	SAMN04487773	1761782	GCA_900116015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/015/GCA_900116015.1_IMG-taxon_2608642189_annotated_assembly	GCA_900116015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/015/GCA_900116015.1_IMG-taxon_2608642189_annotated_assembly/GCA_900116015.1_IMG-taxon_2608642189_annotated_assembly_genomic.fna.gz	GCF_900116015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/015/GCF_900116015.1_IMG-taxon_2608642189_annotated_assembly	GCF_900116015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/015/GCF_900116015.1_IMG-taxon_2608642189_annotated_assembly/GCF_900116015.1_IMG-taxon_2608642189_annotated_assembly_genomic.fna.gz
Enterococcus casseliflavus NLAE-zl-C414 	PRJEB16044	SAMN05216513	37734	GCA_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/195/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly	GCA_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/195/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz	GCF_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/195/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly	GCF_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/195/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz
Enterococcus casseliflavus NLAE-zl-G268 	PRJEB17219	SAMN04487887	37734	GCA_900112655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/655/GCA_900112655.1_IMG-taxon_2623620479_annotated_assembly	GCA_900112655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/655/GCA_900112655.1_IMG-taxon_2623620479_annotated_assembly/GCA_900112655.1_IMG-taxon_2623620479_annotated_assembly_genomic.fna.gz	GCF_900112655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/655/GCF_900112655.1_IMG-taxon_2623620479_annotated_assembly	GCF_900112655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/655/GCF_900112655.1_IMG-taxon_2623620479_annotated_assembly/GCF_900112655.1_IMG-taxon_2623620479_annotated_assembly_genomic.fna.gz
Enterococcus faecalis 68A 	PRJNA237253	SAMN02744689	1458467	GCA_000712065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/065/GCA_000712065.1_ASM71206v1	GCA_000712065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/065/GCA_000712065.1_ASM71206v1/GCA_000712065.1_ASM71206v1_genomic.fna.gz	GCA_000712065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/065/GCA_000712065.1_ASM71206v1	GCA_000712065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/065/GCA_000712065.1_ASM71206v1/GCA_000712065.1_ASM71206v1_genomic.fna.gz
Enterococcus faecalis  VTM1R91 	PRJEB16244	SAMN04487774	1351	GCA_900103995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/995/GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly	GCA_900103995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/995/GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly/GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly_genomic.fna.gz	GCF_900103995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/995/GCF_900103995.1_IMG-taxon_2606217756_annotated_assembly	GCF_900103995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/995/GCF_900103995.1_IMG-taxon_2606217756_annotated_assembly/GCF_900103995.1_IMG-taxon_2606217756_annotated_assembly_genomic.fna.gz
Enterococcus gallinarum SKF1 	PRJNA239493	SAMN02841216	1353	GCA_000703185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/703/185/GCA_000703185.1_ASM70318v1	GCA_000703185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/703/185/GCA_000703185.1_ASM70318v1/GCA_000703185.1_ASM70318v1_genomic.fna.gz	GCF_000703185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/703/185/GCF_000703185.1_ASM70318v1	GCF_000703185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/703/185/GCF_000703185.1_ASM70318v1/GCF_000703185.1_ASM70318v1_genomic.fna.gz
Enterococcus mundtii C2 	PRJEB17478	SAMN04487758	53346	GCA_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/755/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly	GCA_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/755/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz	GCF_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/755/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly	GCF_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/755/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz
Enterococcus sp. KPPR-6 	PRJEB17064	SAMN04487821	1761783	GCA_900111415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/415/GCA_900111415.1_IMG-taxon_2606217798_annotated_assembly	GCA_900111415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/415/GCA_900111415.1_IMG-taxon_2606217798_annotated_assembly/GCA_900111415.1_IMG-taxon_2606217798_annotated_assembly_genomic.fna.gz	GCF_900111415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/415/GCF_900111415.1_IMG-taxon_2606217798_annotated_assembly	GCF_900111415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/415/GCF_900111415.1_IMG-taxon_2606217798_annotated_assembly/GCF_900111415.1_IMG-taxon_2606217798_annotated_assembly_genomic.fna.gz
Erysipelatoclostridium innocuum NLAE-zl-C381 	PRJEB17461	SAMN05216507	1522	GCA_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/575/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly	GCA_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/575/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz	GCF_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/575/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly	GCF_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/575/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz
Erysipelotrichaceae bacterium NK3D112 	PRJNA223066	SAMN02841154	877415	GCA_000701725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/725/GCA_000701725.1_ASM70172v1	GCA_000701725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/725/GCA_000701725.1_ASM70172v1/GCA_000701725.1_ASM70172v1_genomic.fna.gz	GCF_000701725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/725/GCF_000701725.1_ASM70172v1	GCF_000701725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/725/GCF_000701725.1_ASM70172v1/GCF_000701725.1_ASM70172v1_genomic.fna.gz
Escherichia coli PA-3 	PRJEB16952	SAMN04487822	562	GCA_900110665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/665/GCA_900110665.1_IMG-taxon_2608642106_annotated_assembly	GCA_900110665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/665/GCA_900110665.1_IMG-taxon_2608642106_annotated_assembly/GCA_900110665.1_IMG-taxon_2608642106_annotated_assembly_genomic.fna.gz	GCF_900110665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/665/GCF_900110665.1_IMG-taxon_2608642106_annotated_assembly	GCF_900110665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/665/GCF_900110665.1_IMG-taxon_2608642106_annotated_assembly/GCF_900110665.1_IMG-taxon_2608642106_annotated_assembly_genomic.fna.gz
Eubacterium callanderi NLAE-zl-G225 	PRJEB17213	SAMN04487888	53442	GCA_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/415/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly	GCA_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/415/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz	GCF_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/415/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly	GCF_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/415/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz
Eubacterium cellulosolvens LD2006 	PRJNA223050	SAMN02744000	1408436	GCA_000621585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/585/GCA_000621585.1_ASM62158v1	GCA_000621585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/585/GCA_000621585.1_ASM62158v1/GCA_000621585.1_ASM62158v1_genomic.fna.gz	GCF_000621585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/585/GCF_000621585.1_ASM62158v1	GCF_000621585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/585/GCF_000621585.1_ASM62158v1/GCF_000621585.1_ASM62158v1_genomic.fna.gz
Eubacterium oxidoreducens G41 DSM 3217	PRJEB16259	SAMN02910417	1732	GCA_900104415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/415/GCA_900104415.1_IMG-taxon_2593339221_annotated_assembly	GCA_900104415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/415/GCA_900104415.1_IMG-taxon_2593339221_annotated_assembly/GCA_900104415.1_IMG-taxon_2593339221_annotated_assembly_genomic.fna.gz	GCF_900104415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/415/GCF_900104415.1_IMG-taxon_2593339221_annotated_assembly	GCF_900104415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/415/GCF_900104415.1_IMG-taxon_2593339221_annotated_assembly/GCF_900104415.1_IMG-taxon_2593339221_annotated_assembly_genomic.fna.gz
Eubacterium pyruvativorans i6 	PRJEB15823	SAMN04487889	155865	GCA_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/225/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly	GCA_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/225/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz	GCF_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly	GCF_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz
Eubacterium pyruvativorans KHGC13 	PRJEB17584	SAMN05216508	155865	GCA_900116785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/785/GCA_900116785.1_IMG-taxon_2657244902_annotated_assembly	GCA_900116785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/785/GCA_900116785.1_IMG-taxon_2657244902_annotated_assembly/GCA_900116785.1_IMG-taxon_2657244902_annotated_assembly_genomic.fna.gz	GCF_900116785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/785/GCF_900116785.1_IMG-taxon_2657244902_annotated_assembly	GCF_900116785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/785/GCF_900116785.1_IMG-taxon_2657244902_annotated_assembly/GCF_900116785.1_IMG-taxon_2657244902_annotated_assembly_genomic.fna.gz
Eubacterium pyruvativorans KHPC4 	PRJEB17186	SAMN05216515	155865	GCA_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/385/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly	GCA_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/385/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz	GCF_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/385/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly	GCF_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/385/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz
Eubacterium ruminantium 2388 	PRJEB16207	SAMN04490370	42322	GCA_900103685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/685/GCA_900103685.1_IMG-taxon_2623620481_annotated_assembly	GCA_900103685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/685/GCA_900103685.1_IMG-taxon_2623620481_annotated_assembly/GCA_900103685.1_IMG-taxon_2623620481_annotated_assembly_genomic.fna.gz	GCF_900103685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/685/GCF_900103685.1_IMG-taxon_2623620481_annotated_assembly	GCF_900103685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/685/GCF_900103685.1_IMG-taxon_2623620481_annotated_assembly/GCF_900103685.1_IMG-taxon_2623620481_annotated_assembly_genomic.fna.gz
Eubacterium ruminantium FB3002 	PRJEB16713	SAMN04487934	42322	GCA_900108205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/205/GCA_900108205.1_IMG-taxon_2623620486_annotated_assembly	GCA_900108205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/205/GCA_900108205.1_IMG-taxon_2623620486_annotated_assembly/GCA_900108205.1_IMG-taxon_2623620486_annotated_assembly_genomic.fna.gz	GCF_900108205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/205/GCF_900108205.1_IMG-taxon_2623620486_annotated_assembly	GCF_900108205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/205/GCF_900108205.1_IMG-taxon_2623620486_annotated_assembly/GCF_900108205.1_IMG-taxon_2623620486_annotated_assembly_genomic.fna.gz
Eubacterium ruminantium HUN269 	PRJEB15973	SAMN05660484	42322	GCA_900100105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/105/GCA_900100105.1_IMG-taxon_2593339210_annotated_assembly	GCA_900100105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/105/GCA_900100105.1_IMG-taxon_2593339210_annotated_assembly/GCA_900100105.1_IMG-taxon_2593339210_annotated_assembly_genomic.fna.gz	GCF_900100105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/105/GCF_900100105.1_IMG-taxon_2593339210_annotated_assembly	GCF_900100105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/105/GCF_900100105.1_IMG-taxon_2593339210_annotated_assembly/GCF_900100105.1_IMG-taxon_2593339210_annotated_assembly_genomic.fna.gz
Eubacterium sp. AB3007 	PRJNA217194	SAMN02743913	1392487	GCA_000688015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/015/GCA_000688015.1_ASM68801v1	GCA_000688015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/015/GCA_000688015.1_ASM68801v1/GCA_000688015.1_ASM68801v1_genomic.fna.gz	GCF_000688015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/015/GCF_000688015.1_ASM68801v1	GCF_000688015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/015/GCF_000688015.1_ASM68801v1/GCF_000688015.1_ASM68801v1_genomic.fna.gz
Fusobacterium necrophorum HUN048 	PRJNA223481	SAMN02744026	1410656	GCA_000622045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/045/GCA_000622045.1_ASM62204v1	GCA_000622045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/045/GCA_000622045.1_ASM62204v1/GCA_000622045.1_ASM62204v1_genomic.fna.gz	GCF_000622045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/045/GCF_000622045.1_ASM62204v1	GCF_000622045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/045/GCF_000622045.1_ASM62204v1/GCF_000622045.1_ASM62204v1_genomic.fna.gz
Kandleria vitulina KH4T7 	PRJEB16784	SAMN05216514	1630	GCA_900109215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/215/GCA_900109215.1_IMG-taxon_2654588124_annotated_assembly	GCA_900109215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/215/GCA_900109215.1_IMG-taxon_2654588124_annotated_assembly/GCA_900109215.1_IMG-taxon_2654588124_annotated_assembly_genomic.fna.gz	GCF_900109215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/215/GCF_900109215.1_IMG-taxon_2654588124_annotated_assembly	GCF_900109215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/215/GCF_900109215.1_IMG-taxon_2654588124_annotated_assembly/GCF_900109215.1_IMG-taxon_2654588124_annotated_assembly_genomic.fna.gz
Kandleria vitulina MC3001 	PRJNA223501	SAMN02744031	1410658	GCA_000622125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/125/GCA_000622125.1_ASM62212v1	GCA_000622125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/125/GCA_000622125.1_ASM62212v1/GCA_000622125.1_ASM62212v1_genomic.fna.gz	GCF_000622125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/125/GCF_000622125.1_ASM62212v1	GCF_000622125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/125/GCF_000622125.1_ASM62212v1/GCF_000622125.1_ASM62212v1_genomic.fna.gz
Kandleria vitulina RL2 DSM 20405	PRJNA223467	SAMN02841193	1410657	GCA_000702065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/065/GCA_000702065.1_ASM70206v1	GCA_000702065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/065/GCA_000702065.1_ASM70206v1/GCA_000702065.1_ASM70206v1_genomic.fna.gz	GCF_000702065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/065/GCF_000702065.1_ASM70206v1	GCF_000702065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/065/GCF_000702065.1_ASM70206v1/GCF_000702065.1_ASM70206v1_genomic.fna.gz
Kandleria vitulina S3b 	PRJEB16586	SAMN04487759	1630	GCA_900106815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/815/GCA_900106815.1_IMG-taxon_2606217761_annotated_assembly	GCA_900106815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/815/GCA_900106815.1_IMG-taxon_2606217761_annotated_assembly/GCA_900106815.1_IMG-taxon_2606217761_annotated_assembly_genomic.fna.gz	GCF_900106815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/815/GCF_900106815.1_IMG-taxon_2606217761_annotated_assembly	GCF_900106815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/815/GCF_900106815.1_IMG-taxon_2606217761_annotated_assembly/GCF_900106815.1_IMG-taxon_2606217761_annotated_assembly_genomic.fna.gz
Kandleria vitulina WCC7 	PRJEB16170	SAMN05216520	1630	GCA_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/115/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly	GCA_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/115/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz	GCF_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/115/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly	GCF_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/115/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz
Kandleria vitulina WCE2011 	PRJNA223465	SAMN02744019	1410659	GCA_000621925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/925/GCA_000621925.1_ASM62192v1	GCA_000621925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/925/GCA_000621925.1_ASM62192v1/GCA_000621925.1_ASM62192v1_genomic.fna.gz	GCF_000621925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/925/GCF_000621925.1_ASM62192v1	GCF_000621925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/925/GCF_000621925.1_ASM62192v1/GCF_000621925.1_ASM62192v1_genomic.fna.gz
Lachnobacterium bovis AE2004 	PRJNA239496	SAMN02743877	140626	GCA_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/515/GCA_000687515.1_ASM68751v1	GCA_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/515/GCA_000687515.1_ASM68751v1/GCA_000687515.1_ASM68751v1_genomic.fna.gz	GCF_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/515/GCF_000687515.1_ASM68751v1	GCF_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/515/GCF_000687515.1_ASM68751v1/GCF_000687515.1_ASM68751v1_genomic.fna.gz
Lachnobacterium bovis C6A12 	PRJNA223489	SAMN02744025	1410660	GCA_000622065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/065/GCA_000622065.1_ASM62206v1	GCA_000622065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/065/GCA_000622065.1_ASM62206v1/GCA_000622065.1_ASM62206v1_genomic.fna.gz	GCF_000622065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/065/GCF_000622065.1_ASM62206v1	GCF_000622065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/065/GCF_000622065.1_ASM62206v1/GCF_000622065.1_ASM62206v1_genomic.fna.gz
Lachnobacterium bovis NK4B19 	PRJNA185713	SAMN02440897	877445	GCA_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/025/GCA_000421025.1_ASM42102v1	GCA_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/025/GCA_000421025.1_ASM42102v1/GCA_000421025.1_ASM42102v1_genomic.fna.gz	GCF_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/025/GCF_000421025.1_ASM42102v1	GCF_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/025/GCF_000421025.1_ASM42102v1/GCF_000421025.1_ASM42102v1_genomic.fna.gz
Lachnobacterium bovis S1b 	PRJEB16988	SAMN02910429	140626	GCA_900111325.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/325/GCA_900111325.1_IMG-taxon_2593339159_annotated_assembly	GCA_900111325.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/325/GCA_900111325.1_IMG-taxon_2593339159_annotated_assembly/GCA_900111325.1_IMG-taxon_2593339159_annotated_assembly_genomic.fna.gz	GCF_900111325.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/325/GCF_900111325.1_IMG-taxon_2593339159_annotated_assembly	GCF_900111325.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/325/GCF_900111325.1_IMG-taxon_2593339159_annotated_assembly/GCF_900111325.1_IMG-taxon_2593339159_annotated_assembly_genomic.fna.gz
