Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Eubacterium pyruvativorans	i6		2623620515	Illumina HiSeq	vpAllpaths v. r46652	544.652	99.65	2158512	1975	1898	87.51	0.55	1359	1032	1603	773	78.84	58	Eubacterium pyruvativorans i6 	PRJEB15823	SAMN04487889	155865	[GCA_900102225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/225/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly)	[GCA_900102225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/225/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz)	GCA_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/225/GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly	GCA_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz	[GCF_900102225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly)	[GCF_900102225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz)	GCF_900102225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly	GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna.gz
Bacteroidales bacterium	KHT7		2654588178	Illumina HiSeq	vpAllpaths v. r46652	591.765	97.77	3785360	3235	3162	89.86	0.45	1552	1192	2334	818	66.65	61	Bacteroidales bacterium KHT7 	PRJEB15840	SAMN05216518	1855373	[GCA_900102385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/385/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly)	[GCA_900102385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/385/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz)	GCA_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/385/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly	GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz	[GCF_900102385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/385/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly)	[GCF_900102385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/385/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz)	GCF_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/385/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly	GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz
Desulfovibrio legallii	KHC7		2651870316	Illumina HiSeq	vpAllpaths v. r46652	608.616	100	2704428	2351	2297	87.63	0.65	1615	1413	1961	859	80.52	36	Desulfovibrio legallii KHC7 	PRJEB15851	SAMN05192586	571438	[GCA_900102485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/485/GCA_900102485.1_IMG-taxon_2651870316_annotated_assembly)	[GCA_900102485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/485/GCA_900102485.1_IMG-taxon_2651870316_annotated_assembly/GCA_900102485.1_IMG-taxon_2651870316_annotated_assembly_genomic.fna.gz)	GCA_900102485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/485/GCA_900102485.1_IMG-taxon_2651870316_annotated_assembly	GCA_900102485.1_IMG-taxon_2651870316_annotated_assembly_genomic.fna.gz	[GCF_900102485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/485/GCF_900102485.1_IMG-taxon_2651870316_annotated_assembly)	[GCF_900102485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/485/GCF_900102485.1_IMG-taxon_2651870316_annotated_assembly/GCF_900102485.1_IMG-taxon_2651870316_annotated_assembly_genomic.fna.gz)	GCF_900102485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/485/GCF_900102485.1_IMG-taxon_2651870316_annotated_assembly	GCF_900102485.1_IMG-taxon_2651870316_annotated_assembly_genomic.fna.gz
Selenomonas ruminantium	WCT3		2654588117	Illumina HiSeq	vpAllpaths v. r46652	737.316	100	2748281	2643	2557	90.28	0.5	1817	1479	2154	1012	77.68	34	Selenomonas ruminantium WCT3 	PRJEB15897	SAMN05216584	971	[GCA_900100835.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/835/GCA_900100835.1_IMG-taxon_2654588117_annotated_assembly)	[GCA_900100835.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/835/GCA_900100835.1_IMG-taxon_2654588117_annotated_assembly/GCA_900100835.1_IMG-taxon_2654588117_annotated_assembly_genomic.fna.gz)	GCA_900100835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/835/GCA_900100835.1_IMG-taxon_2654588117_annotated_assembly	GCA_900100835.1_IMG-taxon_2654588117_annotated_assembly_genomic.fna.gz	[GCF_900100835.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/835/GCF_900100835.1_IMG-taxon_2654588117_annotated_assembly)	[GCF_900100835.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/835/GCF_900100835.1_IMG-taxon_2654588117_annotated_assembly/GCF_900100835.1_IMG-taxon_2654588117_annotated_assembly_genomic.fna.gz)	GCF_900100835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/835/GCF_900100835.1_IMG-taxon_2654588117_annotated_assembly	GCF_900100835.1_IMG-taxon_2654588117_annotated_assembly_genomic.fna.gz
Prevotella sp.	BPI-148		2623620508	Illumina HiSeq	vpAllpaths v. r46652	795.727	99.26	3479601	2885	2821	92.38	0.48	1469	1145	2121	788	68.87	41	Prevotella sp. BPI-148 	PRJEB15901	SAMN04487901	645274	[GCA_900100635.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/635/GCA_900100635.1_IMG-taxon_2623620508_annotated_assembly)	[GCA_900100635.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/635/GCA_900100635.1_IMG-taxon_2623620508_annotated_assembly/GCA_900100635.1_IMG-taxon_2623620508_annotated_assembly_genomic.fna.gz)	GCA_900100635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/635/GCA_900100635.1_IMG-taxon_2623620508_annotated_assembly	GCA_900100635.1_IMG-taxon_2623620508_annotated_assembly_genomic.fna.gz	[GCF_900100635.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/635/GCF_900100635.1_IMG-taxon_2623620508_annotated_assembly)	[GCF_900100635.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/635/GCF_900100635.1_IMG-taxon_2623620508_annotated_assembly/GCF_900100635.1_IMG-taxon_2623620508_annotated_assembly_genomic.fna.gz)	GCF_900100635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/635/GCF_900100635.1_IMG-taxon_2623620508_annotated_assembly	GCF_900100635.1_IMG-taxon_2623620508_annotated_assembly_genomic.fna.gz
Bacteroides ovatus	NLAE-zl-C57		2654588146	Illumina HiSeq	vpAllpaths v. r46652	271.484	98.49	6007827	4811	4718	91.13	0.42	2302	1656	3811	1176	72.79	174	Bacteroides ovatus NLAE-zl-C57 	PRJEB15940	SAMN05192582	28116	[GCA_900100465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/465/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly)	[GCA_900100465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/465/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz)	GCA_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/465/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly	GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz	[GCF_900100465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/465/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly)	[GCF_900100465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/465/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz)	GCF_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/465/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly	GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz
Pseudobutyrivibrio sp.	49		2651870321	Illumina HiSeq	vpAllpaths v. r46652	343.838	99.52	3398468	3153	3074	91.74	0.39	1909	1475	2483	901	75.17	45	Pseudobutyrivibrio sp. 49 	PRJEB15941	SAMN05421493	1855344	[GCA_900100545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/545/GCA_900100545.1_IMG-taxon_2651870321_annotated_assembly)	[GCA_900100545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/545/GCA_900100545.1_IMG-taxon_2651870321_annotated_assembly/GCA_900100545.1_IMG-taxon_2651870321_annotated_assembly_genomic.fna.gz)	GCA_900100545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/545/GCA_900100545.1_IMG-taxon_2651870321_annotated_assembly	GCA_900100545.1_IMG-taxon_2651870321_annotated_assembly_genomic.fna.gz	[GCF_900100545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/545/GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly)	[GCF_900100545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/545/GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly/GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly_genomic.fna.gz)	GCF_900100545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/545/GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly	GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly_genomic.fna.gz
Streptococcus equinus	MPR2		2651870307	Illumina HiSeq	vpAllpaths v. r46652	406.248	100	1863305	1842	1784	90.01	0.37	1412	1133	1608	753	83.44	22	Streptococcus equinus MPR2 	PRJEB15984	SAMN05216384	1335	[GCA_900100215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/215/GCA_900100215.1_IMG-taxon_2651870307_annotated_assembly)	[GCA_900100215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/215/GCA_900100215.1_IMG-taxon_2651870307_annotated_assembly/GCA_900100215.1_IMG-taxon_2651870307_annotated_assembly_genomic.fna.gz)	GCA_900100215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/215/GCA_900100215.1_IMG-taxon_2651870307_annotated_assembly	GCA_900100215.1_IMG-taxon_2651870307_annotated_assembly_genomic.fna.gz	[GCF_900100215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/215/GCF_900100215.1_IMG-taxon_2651870307_annotated_assembly)	[GCF_900100215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/215/GCF_900100215.1_IMG-taxon_2651870307_annotated_assembly/GCF_900100215.1_IMG-taxon_2651870307_annotated_assembly_genomic.fna.gz)	GCF_900100215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/215/GCF_900100215.1_IMG-taxon_2651870307_annotated_assembly	GCF_900100215.1_IMG-taxon_2651870307_annotated_assembly_genomic.fna.gz
Lachnospiraceae bacterium	G41		2606217752	Illumina HiSeq	vpAllpaths v. r46652	637.84	95.2	2592391	2436	2371	92.37	0.4	1440	1080	1853	741	72.99	22	Lachnospiraceae bacterium G41 	PRJEB15991	SAMN04487760	1200749	[GCA_900100245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/245/GCA_900100245.1_IMG-taxon_2606217752_annotated_assembly)	[GCA_900100245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/245/GCA_900100245.1_IMG-taxon_2606217752_annotated_assembly/GCA_900100245.1_IMG-taxon_2606217752_annotated_assembly_genomic.fna.gz)	GCA_900100245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/245/GCA_900100245.1_IMG-taxon_2606217752_annotated_assembly	GCA_900100245.1_IMG-taxon_2606217752_annotated_assembly_genomic.fna.gz	[GCF_900100245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/245/GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly)	[GCF_900100245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/245/GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly/GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly_genomic.fna.gz)	GCF_900100245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/245/GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly	GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly_genomic.fna.gz
Streptococcus gallolyticus	VTM3R42		2608642220	Illumina HiSeq	vpAllpaths v. r46652	384.25	100	2176773	2149	2094	89.79	0.37	1600	1237	1832	804	81.25	14	Streptococcus gallolyticus VTM3R42 	PRJEB16028	SAMN04487842	315405	[GCA_900101135.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/135/GCA_900101135.1_IMG-taxon_2608642220_annotated_assembly)	[GCA_900101135.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/135/GCA_900101135.1_IMG-taxon_2608642220_annotated_assembly/GCA_900101135.1_IMG-taxon_2608642220_annotated_assembly_genomic.fna.gz)	GCA_900101135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/135/GCA_900101135.1_IMG-taxon_2608642220_annotated_assembly	GCA_900101135.1_IMG-taxon_2608642220_annotated_assembly_genomic.fna.gz	[GCF_900101135.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/135/GCF_900101135.1_IMG-taxon_2608642220_annotated_assembly)	[GCF_900101135.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/135/GCF_900101135.1_IMG-taxon_2608642220_annotated_assembly/GCF_900101135.1_IMG-taxon_2608642220_annotated_assembly_genomic.fna.gz)	GCF_900101135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/135/GCF_900101135.1_IMG-taxon_2608642220_annotated_assembly	GCF_900101135.1_IMG-taxon_2608642220_annotated_assembly_genomic.fna.gz
Enterococcus casseliflavus	NLAE-zl-C414		2651870318	Illumina HiSeq	vpAllpaths v. r46652	316.966	99.25	3564496	3396	3329	88.13	0.43	2476	1939	2850	1062	80.21	44	Enterococcus casseliflavus NLAE-zl-C414 	PRJEB16044	SAMN05216513	37734	[GCA_900101195.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/195/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly)	[GCA_900101195.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/195/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz)	GCA_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/195/GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly	GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz	[GCF_900101195.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/195/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly)	[GCF_900101195.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/195/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz)	GCF_900101195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/195/GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly	GCF_900101195.1_IMG-taxon_2651870318_annotated_assembly_genomic.fna.gz
Bifidobacterium breve	RP2		2651870312	Illumina HiSeq	vpAllpaths v. r46652	578.645	100	2260492	1976	1910	87.17	0.59	1276	1087	1593	635	77.88	25	Bifidobacterium breve RP2 	PRJEB16050	SAMN05216468	1685	[GCA_900102865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/865/GCA_900102865.1_IMG-taxon_2651870312_annotated_assembly)	[GCA_900102865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/865/GCA_900102865.1_IMG-taxon_2651870312_annotated_assembly/GCA_900102865.1_IMG-taxon_2651870312_annotated_assembly_genomic.fna.gz)	GCA_900102865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/865/GCA_900102865.1_IMG-taxon_2651870312_annotated_assembly	GCA_900102865.1_IMG-taxon_2651870312_annotated_assembly_genomic.fna.gz	[GCF_900102865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/865/GCF_900102865.1_IMG-taxon_2651870312_annotated_assembly)	[GCF_900102865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/865/GCF_900102865.1_IMG-taxon_2651870312_annotated_assembly/GCF_900102865.1_IMG-taxon_2651870312_annotated_assembly_genomic.fna.gz)	GCF_900102865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/865/GCF_900102865.1_IMG-taxon_2651870312_annotated_assembly	GCF_900102865.1_IMG-taxon_2651870312_annotated_assembly_genomic.fna.gz
Sarcina sp.	LD 64	DSM 11001	2608642105	Illumina HiSeq	vpAllpaths v. r46652	750.072	97.97	4151587	3327	3198	83.97	0.51	1856	1267	2431	888	70	76	Sarcina sp. LD 64 DSM 11001	PRJEB16054	SAMN04487833	1798184	[GCA_900101015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/015/GCA_900101015.1_IMG-taxon_2608642105_annotated_assembly)	[GCA_900101015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/015/GCA_900101015.1_IMG-taxon_2608642105_annotated_assembly/GCA_900101015.1_IMG-taxon_2608642105_annotated_assembly_genomic.fna.gz)	GCA_900101015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/015/GCA_900101015.1_IMG-taxon_2608642105_annotated_assembly	GCA_900101015.1_IMG-taxon_2608642105_annotated_assembly_genomic.fna.gz	[GCF_900101015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/015/GCF_900101015.1_IMG-taxon_2608642105_annotated_assembly)	[GCF_900101015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/015/GCF_900101015.1_IMG-taxon_2608642105_annotated_assembly/GCF_900101015.1_IMG-taxon_2608642105_annotated_assembly_genomic.fna.gz)	GCF_900101015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/015/GCF_900101015.1_IMG-taxon_2608642105_annotated_assembly	GCF_900101015.1_IMG-taxon_2608642105_annotated_assembly_genomic.fna.gz
Propionibacterium acnes 	NLAE-zl-G260		2654588184	Illumina HiSeq	vpAllpaths v. r46652	331.225	100	2544367	2382	2327	90.82	0.6	1566	1299	1881	816	75.99	13	Propionibacterium acnes  NLAE-zl-G260 	PRJEB16126	SAMN05216478	1747	[GCA_900102845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/845/GCA_900102845.1_IMG-taxon_2654588184_annotated_assembly)	[GCA_900102845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/845/GCA_900102845.1_IMG-taxon_2654588184_annotated_assembly/GCA_900102845.1_IMG-taxon_2654588184_annotated_assembly_genomic.fna.gz)	GCA_900102845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/845/GCA_900102845.1_IMG-taxon_2654588184_annotated_assembly	GCA_900102845.1_IMG-taxon_2654588184_annotated_assembly_genomic.fna.gz	[GCF_900102845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/845/GCF_900102845.1_IMG-taxon_2654588184_annotated_assembly)	[GCF_900102845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/845/GCF_900102845.1_IMG-taxon_2654588184_annotated_assembly/GCF_900102845.1_IMG-taxon_2654588184_annotated_assembly_genomic.fna.gz)	GCF_900102845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/845/GCF_900102845.1_IMG-taxon_2654588184_annotated_assembly	GCF_900102845.1_IMG-taxon_2654588184_annotated_assembly_genomic.fna.gz
Clostridium cochlearium	NLAE-zl-C224		2654588125	Illumina HiSeq	vpAllpaths v. r46652	466.76	98.62	2400722	2407	2331	88.05	0.28	1546	1295	1949	909	77.07	52	Clostridium cochlearium NLAE-zl-C224 	PRJEB16127	SAMN05216497	1494	[GCA_900103025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/025/GCA_900103025.1_IMG-taxon_2654588125_annotated_assembly)	[GCA_900103025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/025/GCA_900103025.1_IMG-taxon_2654588125_annotated_assembly/GCA_900103025.1_IMG-taxon_2654588125_annotated_assembly_genomic.fna.gz)	GCA_900103025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/025/GCA_900103025.1_IMG-taxon_2654588125_annotated_assembly	GCA_900103025.1_IMG-taxon_2654588125_annotated_assembly_genomic.fna.gz	[GCF_900103025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/025/GCF_900103025.1_IMG-taxon_2654588125_annotated_assembly)	[GCF_900103025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/025/GCF_900103025.1_IMG-taxon_2654588125_annotated_assembly/GCF_900103025.1_IMG-taxon_2654588125_annotated_assembly_genomic.fna.gz)	GCF_900103025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/025/GCF_900103025.1_IMG-taxon_2654588125_annotated_assembly	GCF_900103025.1_IMG-taxon_2654588125_annotated_assembly_genomic.fna.gz
Streptococcus gallolyticus	VTM3R24		2608642166	Illumina HiSeq	vpAllpaths v. r46652	427.864	100	2175210	2156	2101	89.85	0.37	1597	1237	1830	804	80.94	13	Streptococcus gallolyticus VTM3R24 	PRJEB16159	SAMN04487841	315405	[GCA_900103105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/105/GCA_900103105.1_IMG-taxon_2608642166_annotated_assembly)	[GCA_900103105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/105/GCA_900103105.1_IMG-taxon_2608642166_annotated_assembly/GCA_900103105.1_IMG-taxon_2608642166_annotated_assembly_genomic.fna.gz)	GCA_900103105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/105/GCA_900103105.1_IMG-taxon_2608642166_annotated_assembly	GCA_900103105.1_IMG-taxon_2608642166_annotated_assembly_genomic.fna.gz	[GCF_900103105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/105/GCF_900103105.1_IMG-taxon_2608642166_annotated_assembly)	[GCF_900103105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/105/GCF_900103105.1_IMG-taxon_2608642166_annotated_assembly/GCF_900103105.1_IMG-taxon_2608642166_annotated_assembly_genomic.fna.gz)	GCF_900103105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/105/GCF_900103105.1_IMG-taxon_2608642166_annotated_assembly	GCF_900103105.1_IMG-taxon_2608642166_annotated_assembly_genomic.fna.gz
Kandleria vitulina	WCC7		2654588126	Illumina HiSeq	vpAllpaths v. r46652	438.285	100	2104115	2175	2093	90.76	0.35	1406	1089	1693	755	73.47	49	Kandleria vitulina WCC7 	PRJEB16170	SAMN05216520	1630	[GCA_900103115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/115/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly)	[GCA_900103115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/115/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz)	GCA_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/115/GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly	GCA_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz	[GCF_900103115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/115/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly)	[GCF_900103115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/115/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz)	GCF_900103115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/115/GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly	GCF_900103115.1_IMG-taxon_2654588126_annotated_assembly_genomic.fna.gz
